Title,First_air_date,End_date,Rating,Genre,Status,Network,Summary
Watson,2025,now,4.7,"Drama, Mystery, Medical",Running,,"In Watson a year after the death of his friend and partner Sherlock Holmes at the hands of Moriarty, Dr. John Watson resumes his medical career as the head of a clinic dedicated to treating rare disorders. Watson's old life isn't done with him, though — Moriarty and Watson are set to write their own chapter of a story that has fascinated audiences for more than a century. Watson is a medical show with a strong investigative spine, featuring a modern version of one of history's greatest detectives as he turns his attention from solving crimes to addressing the greatest mystery of all: illness, and the ways it disrupts our lives."
The Neighborhood,2018,now,6.2,"Comedy, Family",Running,,"The Neighborhood telling about what happens when the friendly guy in the Midwest moves his family to a neighborhood in Los Angeles where not everyone looks like him or appreciates his extreme neighborliness. When Dave Johnson and his family arrive from Michigan, they're unfazed that their new dream home is located in a community quite different from their small town. However, their opinionated next-door neighbor, Calvin Butler, is wary of the newcomers, certain that they'll disrupt the culture on the block. Dave realizes that fitting into their new community is more complex than he expected, but if he can find a way to connect with Calvin, they have an excellent chance of making their new neighborhood their home."
The Orville,2017,now,7.6,"Comedy, Adventure, Science-Fiction",To Be Determined,,"The Orville is a live-action, one-hour space adventure series set 400 years in the future that follows The Orville, a mid-level exploratory spaceship. Its crew, both human and alien, face the wonders and dangers of outer space, while also dealing with the familiar, often humorous problems of everyday life."
Saturday Night Live,1975,now,5.9,"Comedy, Music",Running,,"Saturday Night Live is an Emmy Award-winning late-night comedy showcase.Since its inception in 1975, ""SNL"" has launched the careers of many of the brightest comedy performers of their generation. As The New York Times noted on the occasion of the show's Emmy-winning 25th Anniversary special in 1999, ""in defiance of both time and show business convention, 'SNL' is still the most pervasive influence on the art of comedy in contemporary culture."" At the close of the century, ""Saturday Night Live"" placed seventh on Entertainment Weekly's list of the Top 100 Entertainers of the past fifty years."
Georgie & Mandy's First Marriage,2024,now,7.4,"Comedy, Family",Running,,"Georgie &amp; Mandy's First Marriage follows Georgie and Mandy as they raise their young family in Texas while navigating the challenges of adulthood, parenting and marriage."
Murder in a Small Town,2024,now,6.5,"Drama, Crime",Running,,"Karl Alberg moves to a quiet coastal town to soothe a psyche that has been battered by big-city police work. But this gentle paradise has more than its share of secrets, and Karl will need to call upon all the skills that made him a world-class detective in solving the murders that, even in this seemingly idyllic setting, continue to wash up on his shore."
Sheriff Country,2025,now,7.2,"Drama, Crime",Running,,"Sheriff Country focuses on straight-shooting sheriff Mickey Fox, the stepsister of Cal Fire's division chief Sharon Leone, who investigates criminal activity as she patrols the streets of small-town Edgewater while contending with her ex-con father, Wes, who is an off-the-grid marijuana grower, and a mysterious incident involving her wayward daughter."
Billy the Kid,2022,now,7,"Adventure, Crime, Western",Running,,"Billy the Kid is based on the life of famous American outlaw Billy the Kid, also known as William H. Bonney -- from his humble Irish roots, to his early days as a cowboy and gunslinger in the American frontier, to his pivotal role in the Lincoln County War and beyond."
Resident Alien,2021,2025,7.8,"Drama, Comedy, Science-Fiction",Ended,,"Resident Alien is a dark, twisted and comedic fish-out-of-water story that follows a crash-landed alien named Harry who, after taking on the identity of a small-town Colorado doctor, slowly begins to wrestle with the moral dilemma of his secret mission on Earth — ultimately asking the question, ""Are human beings worth saving?"""
Rick and Morty,2013,now,8.8,"Comedy, Adventure, Science-Fiction",Running; returning 2026,,"Rick is a mentally gifted, but sociopathic and alcoholic scientist and a grandfather to Morty; an awkward, impressionable, and somewhat spineless teenage boy. Rick moves into the family home of Morty, where he immediately becomes a bad influence."
Hawaii Five-0,2010,2020,7.7,"Drama, Action, Crime",Ended,,"Hawaii Five-0 is a contemporary take on the classic series about a new elite federalized task force whose mission is to wipe out the crime that washes up on the Islands' sun-drenched beaches. Detective Steve McGarrett, a decorated Naval officer-turned-cop, returned to Oahu to investigate his father's murder and stayed after Hawaii's former governor persuaded him to head up the new team: his rules, no red tape and full blanket authority to hunt down the biggest ""game"" in town. Joining McGarrett is Detective Danny ""Danno"" Williams, a relocated ex-New Jersey cop - a working man in paradise who prefers skyscrapers to the coastline - but who's committed to keeping the Islands safe for his young daughter; Chin Ho Kelly, an ex-Honolulu police detective and former protégé of McGarrett's father who was wrongly accused of corruption; Dr. Max Bergman, the quirky coroner; Chin's cousin, Kono Kalakaua, a beautiful and fearless native; and Captain Lou Grover, who formerly headed Hawaii's SWAT unit. Joining them is Jerry Ortega, a former classmate of Chin's and the Island's local conspiracy theorist. The state's brash FIVE-0 unit, who may spar and jest among themselves, remain determined to eliminate the seedy elements from the 50th state."
Anne Rice's Interview with the Vampire,2022,now,6.6,"Horror, Supernatural",Running; returning 2026,,"Based on Anne Rice's iconic and bestselling novel, Anne Rice's Interview with the Vampire follows Louis de Pointe, Lestat de Lioncourt and Claudia's epic story of love, blood and the perils of immortality, as told to the journalist Daniel Molloy. Chafing at the limitations of life as a Black man in New Orleans in the early 1900s, Louis finds it impossible to resist the rakish Lestat de Lioncourt's offer of the ultimate escape: joining him as his vampire companion. But Louis's intoxicating new powers come with a violent price, and the introduction of Lestat's newest fledgling, the child vampire Claudia, soon sets them on a decades-long path of revenge and atonement."
Game of Thrones,2011,2019,8.9,"Drama, Adventure, Fantasy",Ended,,"Based on the bestselling book series A Song of Ice and Fire by George R.R. Martin, this sprawling new HBO drama is set in a world where summers span decades and winters can last a lifetime. From the scheming south and the savage eastern lands, to the frozen north and ancient Wall that protects the realm from the mysterious darkness beyond, the powerful families of the Seven Kingdoms are locked in a battle for the Iron Throne. This is a story of duplicity and treachery, nobility and honor, conquest and triumph. In the Game of Thrones, you either win or you die."
Ted Lasso,2020,now,8.1,"Drama, Comedy, Sports",Running; returning 2026,Apple TV,Ted Lasso centers on an idealistic — and clueless — all-American football coach hired to manage an English football club — despite having no soccer coaching experience at all.
Shetland,2013,now,8.2,"Drama, Crime, Mystery",Running; returning 2025,,The dark side of one of the most beautiful places on earth. Uncovering secrets and lies from the past.
Friends,1994,2004,8.5,"Comedy, Romance",Ended,,"Six young (20-something) people from New York City (Manhattan), on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.This average group of buddies goes through massive mayhem, family trouble, past and future romances, fights, laughs, tears and surprises as they learn what it really means to be a friend."
Stargate SG·1,1997,2008,8.8,"Action, Adventure, Science-Fiction",Ended,,Stargate SG-1 is a science fiction series based on the original film Stargate. It involves the team SG-1 going on various adventures to different alien worlds through Stargates. Throughout the series they encounter various alien threats and allies including but not limited to the Goa'uld and the Asgard.
Nobody Wants This,2024,now,6.4,Comedy,To Be Determined,Netflix,"An agnostic sex podcaster and a rabbi walk into a party. No, it's not the start of a joke — it's the beginning of a love story. And it's complicated."
Anne Rice's Talamasca: The Secret Order,2025,now,5.6,"Drama, Supernatural",Running,,"Anne Rice's Talamasca: The Secret Order focuses on a secretive society called the Talamasca, comprised of the men and women responsible for tracking and containing the witches, vampires, and other creatures scattered around the globe."
The Agency: Central Intelligence,2024,now,7.2,"Drama, Thriller, Espionage",Running; returning 2026,Paramount+,"The Agency: Central Intelligence follows Martian, a covert CIA agent ordered to abandon his undercover life and return to London Station. When the love he left behind reappears, romance reignites. His career, his real identity and his mission are pitted against his heart; hurling them both into a deadly game of international intrigue and espionage."
Trigger Point,2022,now,7.3,"Drama, Thriller",Running; returning 2026,,"Set in contemporary London, Trigger Point focuses on the Bomb Disposal Squad. Known as ""Expo"", officers risk their lives daily on ‘the long walk' towards danger. Death is always just a heartbeat away."
Yellowstone,2018,2024,8.1,"Drama, Western",Ended,,"Yellowstone follows the Dutton family, led by John Dutton, who controls the largest contiguous ranch in the United States, under constant attack by those it borders — land developers, an Indian reservation, and America's first National Park. It is an intense study of a violent world far from media scrutiny — where land grabs make developers billions, and politicians are bought and sold by the world's largest oil and lumber corporations. Where drinking water poisoned by fracking wells and unsolved murders are not news: they are a consequence of living in the new frontier. It is the best and worst of America seen through the eyes of a family that represents both."
S.W.A.T.,2017,2025,7.2,"Drama, Action, Crime",Ended,,"Shemar Moore stars as a locally born and raised S.W.A.T. sergeant newly tasked to run a specialized tactical unit that is the last stop in law enforcement in Los Angeles. Torn between loyalty to where he was raised and allegiance to his brothers in blue, former Marine Daniel ""Hondo"" Harrelson has everything it takes to be an excellent leader and bridge the divide between his two worlds."
Dexter,2006,2013,8.4,"Drama, Crime, Mystery",Ended,,"He's smart, he's good looking, and he's got a great sense of humor. He's Dexter Morgan, everyone's favorite serial killer. As a Miami forensics expert, he spends his days solving crimes, and nights committing them. But Dexter lives by a strict code of honor that is both his saving grace and lifelong burden. Torn between his deadly compulsion and his desire for true happiness, Dexter is a man in profound conflict with the world and himself."
Hudson & Rex,2019,now,7.5,"Drama, Action, Crime",Running,,"Detective Charlie Hudson, a cunning Major Crimes detective for the St. John's Police Department, teams up with an unusual partner – Rex, a former-K9 German Shepherd, whose heightened senses keep Charlie hot on the trail of his suspects. Together, they investigate puzzling crimes, from a kidnapping which reveals a much larger conspiracy at play to an art theft murder which runs deep into the world of high society. With Charlie's deft detective work and Rex's keen canine senses, this crime-fighting pair is unstoppable."
Brilliant Minds,2024,now,5.2,"Drama, Medical",Running,,"Inspired by the extraordinary life and work of world-famous author and physician Oliver Sacks, Brilliant Minds follows a revolutionary, larger-than-life neurologist and his team of interns as they explore the last great frontier - the human mind - while grappling with their own relationships and mental health."
The Penguin,2024,now,8,"Drama, Crime",To Be Determined,,"Starring Colin Farrell as Oz Cobb (aka The Penguin), the DC Studios series continues filmmaker Matt Reeves' The Batman epic crime saga that began with Warner Bros. Pictures' global blockbuster The Batman. Developed by showrunner Lauren LeFranc, the series centers on the character played by Farrell in the film."
Upload,2020,2025,7.7,"Comedy, Science-Fiction, Mystery",Ended,Prime Video,"Upload is a sci-fi sitcom that takes place in the near future, where people who are near death can be ""uploaded"" into a virtual afterlife of their choice. In 2033, secretly romantic Brooklyn-born Nora works customer service for a luxurious virtual reality environment. When handsome L.A. party boy Nathan's self-driving car crashes, his high-maintenance girlfriend uploads him permanently into Nora's VR world. Nora starts as Nathan's customer service ""angel"", but becomes so much more as she helps him find friendship, love and purpose."
NCIS: Los Angeles,2009,2023,7.9,"Drama, Action, Crime",Ended,,"NCIS: Los Angeles is a drama about the high-stakes world of a division of NCIS that is charged with apprehending dangerous and elusive criminals that pose a threat to the nation's security. By assuming false identities and utilizing the most advanced technology, this team of highly-trained agents goes deep undercover, putting their lives on the line in the field to bring down their targets."
Cross,2024,now,6.9,"Crime, Thriller, Mystery",Running; returning February 2026,Prime Video,"Based on NY Times Bestselling author James Patterson's #1 hero, Cross is a crime thriller that follows the investigations of brilliant forensic psychologist and DC Metro Detective Alex Cross. Together with his best friend and partner Detective John Sampson, Cross delves into the psyches of America's most insidious killers while fighting to protect his family from the dangers of the criminal world."
The Wheel of Time,2021,2025,7.2,"Drama, Adventure, Fantasy",Ended,Prime Video,"The Wheel of Time is set in a sprawling, epic world where magic exists, but only women can use it safely. Meaning that in this series — women hold the keys to power. The story follows Moiraine, a member of the shadowy and influential all-female organization called the ‘Aes Sedai' as she embarks on a dangerous, world-spanning journey with five young men and women. Moiraine's interested in these five because she believes one of them might be the reincarnation of an incredibly powerful individual, whom prophecies say will either save humanity or destroy it. The series draws on numerous elements of European and Asian culture and philosophy, most notably the cyclical nature of time found in Buddhism and Hinduism."
The Night Manager,2016,now,8.2,"Drama, Thriller, Espionage",Running; returning 2025,,Drama series based on the John le Carré novel. A hotel night manager is recruited by a government agent to infiltrate the inner circle of a ruthless arms dealer.
Ancient Aliens,2009,now,6.4,,Running,,"Ancient Aliens explores the controversial theory that extraterrestrials have visited Earth for millions of years. From the age of the dinosaurs to ancient Egypt, from early cave drawings to continued mass sightings in the US, each episode in this hit History series gives historic depth to the questions, speculations, provocative controversies, first-hand accounts and grounded theories surrounding this age old debate. Did intelligent beings from outer space visit Earth thousands of years ago?"
Shifting Gears,2025,now,7.5,Comedy,Running,,"Shifting Gears centers on Matt, a stubborn, widowed owner of a classic car restoration shop. When Matt's estranged daughter and her teenage kids move into his house, the real restoration begins."
Daredevil: Born Again,2025,now,7.5,"Drama, Action, Science-Fiction",Running; returning March 2026,Disney+,Matt Murdock finds himself on a collision course with Wilson Fisk when their past identities begin to emerge.
Monarch: Legacy of Monsters,2023,now,7.4,"Action, Adventure, Science-Fiction",Running; returning 2025,Apple TV,"After surviving Godzilla's attack on San Francisco, Cate is shaken yet again by a shocking secret. Amid monstrous threats, she embarks on a globetrotting adventure to learn the truth about her family—and the mysterious organization known as Monarch."
Murderbot,2025,now,7.3,"Comedy, Action, Science-Fiction",Running; returning 2026,Apple TV,"Based on Martha Wells' book series The Murderbot Diaries, an action-packed story about self-hacking security android who is horrified by human emotion yet drawn to its vulnerable clients. Murderbot must hide its free will and complete a dangerous assignment when all it really wants is to be left alone to watch futuristic soap operas and figure out its place in the universe."
Twisted Metal,2023,now,6.9,"Action, Fantasy, Science-Fiction",To Be Determined,,"Twisted Metal is about a motor-mouthed outsider offered a chance at a better life, but only if he can successfully deliver a mysterious package across a post-apocalyptic wasteland. With the help of a trigger-happy car thief, he faces savage marauders driving vehicles of destruction and other dangers of the open road, including a deranged clown who drives an all too familiar ice cream truck."
Abbott Elementary,2021,now,6.3,Comedy,Running,,"In this workplace comedy, a group of dedicated, passionate teachers — and a slightly tone-deaf principal — are brought together in a Philadelphia public school where, despite the odds stacked against them, they are determined to help their students succeed in life. Though these incredible public servants may be outnumbered and underfunded, they love what they do — even if they don't love the school district's less-than-stellar attitude toward educating children."
Lucifer,2016,2021,8.3,"Drama, Crime, Supernatural",Ended,Netflix,"The Devil has come to Los Angeles…Based upon the characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg for DC Entertainment's Vertigo imprint, Lucifer is the story of the original fallen angel. Bored and unhappy as the Lord of Hell, Lucifer Morningstar has abandoned his throne and retired to L.A., where he owns Lux, an upscale nightclub.Charming, charismatic and devilishly handsome, Lucifer is enjoying his retirement, indulging in a few of his favorite things--wine, women and song-–when a beautiful pop star is brutally murdered outside of Lux. For the first time in roughly 10 billion years, he feels something awaken deep within him as a result of this murder. Compassion? Sympathy? The very thought disturbs him--as well as his best friend and confidante, Mazkeen aka Maze, a fierce demon in the form of a beautiful young woman."
The Amazing Race,2001,now,6.8,"Action, Adventure, Family",Running,,"From athletes and actors to tattoo artists, social workers and musicians - a diverse mix of teams will need to utilize their street smarts and savvy know-how to compete in the race of their lifetime."
Arrow,2012,2020,7.4,"Drama, Action, Science-Fiction",Ended,,"After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime."
Law & Order: Organized Crime,2021,now,7.5,"Drama, Crime",To Be Determined,,"In the nation's largest city, the vicious and violent members of the underworld are hunted by the detectives of the Organized Crime Control Bureau. These are their stories."
The Sandman,2022,2025,7.4,"Drama, Fantasy",Ended,Netflix,"A rich blend of modern myth and dark fantasy in which contemporary fiction, historical drama and legend are seamlessly interwoven, The Sandman follows the people and places affected by Morpheus, the Dream King, as he mends the cosmic — and human — mistakes he's made during his vast existence."
Yellowjackets,2021,now,7,"Drama, Horror, Supernatural",Running,Paramount+,"Yellowjackets follows a girls' high school soccer team. In 1975, the Dearborn High Yellowjackets became the first team in state history to qualify for the Girls' U.S. Soccer Championship Series in Manchester, NH. They never got the chance to compete. Equal parts survival epic, horror story and pitch black coming of age, Yellowjackets tells the story of the (un)lucky survivors of a plane crash deep in the Ontario wilderness, chronicling their descent from a friendly, cooperative team to warring, cannibalistic clans. At the same time, it follows the lives they've attempted to piece back together nearly twenty-five years later, proving that the past is never really past and what began out in the wilderness is far from over."
Elementary,2012,2019,8.3,"Drama, Crime, Mystery",Ended,,"Elementary is a modern-day take on the classic Sherlock Holmes story about a crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare - a sober companion, Dr. Watson."
The Lowdown,2025,now,6.2,"Drama, Comedy, Crime",Running,,"Citizen journalist Lee Raybon is a self-proclaimed Tulsa ""truthstorian"" whose obsession with the truth is always getting him into trouble."
Boston Blue,2025,now,8.1,"Drama, Crime",Running,,"In Boston Blue, NYPD Detective Danny Reagan takes a position with Boston PD. Once in Boston, he is paired with Detective Lena Peters, the eldest daughter of a prominent law enforcement family."
The Institute,2025,now,6.6,"Horror, Science-Fiction, Thriller",Running; returning 2026,,"When 12-year-old genius Luke Ellis is kidnapped, he awakens at The Institute, a facility full of children who all got there the same way he did, and who are all possessed of unusual abilities. In a nearby town, haunted former police officer Tim Jamieson has come looking to start a new life, but the peace and quiet won't last, as his story and Luke's are destined to collide."
Miss Scarlet,2020,now,7.1,"Drama, Crime, Mystery",Running; returning December 2025,,"When Eliza's father dies, he leaves her penniless in a time where marriage is the only option for financial security. But the headstrong Eliza has an ace up her bonnet - her father's business, a detective agency. But it's Victorian London and, to operate in this man's world, she needs a partner.Step forward consummate rogue Detective Inspector William Wellington of Scotland Yard, aka ""The Duke"".Eliza and Duke strike up a fiery relationship as they team up to solve puzzling crimes in the murkiest depths of 1880s London."
Ballard,2025,now,7.1,"Drama, Crime",Running; returning 2027,Prime Video,"Detective Renée Ballard is tasked with running the LAPD's new cold case division—a poorly funded, all-volunteer unit with the largest case load in the city. Ballard approaches these frozen-in-time cases with empathy and determination. When she uncovers a larger conspiracy during her investigations, she'll lean on the assistance of her retired ally, Harry Bosch, to navigate the dangers that threaten both her unit and her life."
The Rainmaker,2025,now,7.1,"Drama, Crime, Legal",Running; returning 2026,,"Fresh out of law school, Rudy Baylor goes head-to-head with courtroom lion Leo Drummond as well as his law school girlfriend. Rudy, along with his boss and her disheveled paralegal, uncover two connected conspiracies surrounding the mysterious death of their client's son."
Doc,2025,now,6.9,"Drama, Medical",Running,,"Doc centers on the hard-charging, brilliant Dr. Amy Larsen, Chief of Internal and Family Medicine at Westside Hospital in Minneapolis. After a brain injury erases the last eight years of her life, Amy must navigate an unfamiliar world where she has no recollection of patients she's treated, colleagues she's crossed, the soulmate she divorced, the man she now loves and the tragedy that caused her to push everyone away. She can rely only on her estranged 17-year-old daughter, whom she remembers as a 9-year-old, and a handful of devoted friends, as she struggles to continue practicing medicine, despite having lost nearly a decade of knowledge and experience."
Breaking Bad,2008,2019,9.2,"Drama, Crime, Thriller",Ended,,"Breaking Bad follows protagonist Walter White, a chemistry teacher who lives in New Mexico with his wife and teenage son who has cerebral palsy. White is diagnosed with Stage III cancer and given a prognosis of two years left to live. With a new sense of fearlessness based on his medical prognosis, and a desire to secure his family's financial security, White chooses to enter a dangerous world of drugs and crime and ascends to power in this world. The series explores how a fatal diagnosis such as White's releases a typical man from the daily concerns and constraints of normal society and follows his transformation from mild family man to a kingpin of the drug trade."
9-1-1: Nashville,2025,now,7,"Drama, Action, Crime",Running,,"9-1-1: Nashville is a high-octane procedural about heroic first responders, as well as their family saga of power and glamour set in one of America's most diverse and dynamic cities."
Countdown,2025,2025,6.5,"Crime, Thriller",Ended,Prime Video,"When an officer with the Department of Homeland Security is murdered in broad daylight, LAPD detective Mark Meachum is recruited to a secret task force, alongside undercover agents from all branches of law enforcement, to investigate. But the hunt for the killer soon uncovers a plot far more sinister than anyone could have imagined, kicking off a race against time to save a city of millions."
The Walking Dead: Dead City,2023,now,7.1,"Drama, Action, Horror",Running; returning 2026,,"The Walking Dead: Dead City envisions the popular Maggie and Negan characters travelling into a post-apocalyptic Manhattan long ago cut off from the mainland. The crumbling city is filled with the dead and denizens who have made New York City their own world full of anarchy, danger, beauty, and terror."
FBI: Most Wanted,2020,2025,6.4,"Drama, Crime",Ended,,"FBI: Most Wanted is a high-stakes drama that focuses on the Fugitive Task Force, which relentlessly tracks and captures the notorious criminals on the Bureau's Most Wanted list. Seasoned agent Jess LaCroix oversees the highly skilled team that functions as a mobile undercover unit that is always out in the field, pursuing those who are most desperate to elude justice."
Paradise,2025,now,7.4,"Drama, Thriller",Running; returning 2026,,Paradise is set in a serene community inhabited by some of the world's most prominent individuals. But this tranquillity explodes when a shocking murder occurs and a high-stakes investigation unfolds.
Black Doves,2024,now,6.9,"Drama, Thriller, Espionage",Running,Netflix,"Helen Webb, politician's wife, doting mother, and professional spy, has been passing on her husband's secrets to the Black Doves, the shadowy organization for whom she works. But when her lover Jason is assassinated, Helen's life is turned upside down, and only her old friend Sam Young can keep her safe. But Sam, a suave, champagne-drinking assassin, also has problems of his own. Out of the game, since his last job went wrong, he soon realizes his past is coming back to haunt him. Together, they set off on a mission that will lead them to uncover a vast, interconnected conspiracy. One that links the murky underworld of London to a looming geopolitical crisis — and leads them to question the cost of the moral choices they've made."
Agatha All Along,2024,now,6.3,"Comedy, Action, Science-Fiction",To Be Determined,Disney+,"In Agatha All Along, the infamous Agatha Harkness finds herself down and out of power after a suspicious goth Teen helps break her free from a distorted spell. Her interest is piqued when he begs her to take him on the legendary Witches' Road, a magical gauntlet of trials that, if survived, rewards a witch with what they're missing. Together, Agatha and this mysterious Teen pull together a desperate coven, and set off down, down, down The Road..."
The 100,2014,2020,7.7,"Action, Adventure, Science-Fiction",Ended,,"Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, and resources are running out on their dying ""Ark"" - the 12 stations now linked together and repurposed to keep the survivors alive. Draconian measures including capital punishment and population control are the order of the day, as the leaders of the Ark take ruthless steps to ensure their future, including secretly exiling a group of 100 juvenile prisoners to the Earth's surface to test whether it's habitable."
The Hunting Party,2025,now,6.5,"Drama, Crime, Thriller",Running; returning 2026,,"When a secret prison suffers a mysterious explosion that allows the nation's most violent serial killers to escape, a former profiler is thrust back into a thrilling game of cat and mouse. Alongside a team of soldiers, spies and special agents, she has no choice but to track down and recapture these dangerous criminals… before they kill again."
Percy Jackson and the Olympians,2023,now,6.6,"Adventure, Fantasy, Supernatural",Running; returning December 2025,Disney+,12-year-old modern demigod Percy Jackson has just come to terms with his newfound supernatural powers when the sky god Zeus accuses him of stealing his master lightning bolt. Now Percy must trek across America to find it and restore order to Olympus.
Star Trek: Discovery,2017,2024,7.3,"Drama, Adventure, Science-Fiction",Ended,Paramount+,"Star Trek, one of the most iconic and influential global television franchises, returns 50 years after it first premiered, with Star Trek: Discovery. The series will feature a new ship, new characters and new missions, while embracing the same ideology and hope for the future that inspired a generation of dreamers and doers."
Hell's Kitchen,2005,now,6.8,Food,Running,,"In Hell's Kitchen, aspiring chefs are put through an intense culinary academy to prove they possess the right combination of ingredients to win a life-changing grand prize."
The Voice,2011,now,5.9,Music,Running,,"The Voice is a singing competition where famous musicians serve as coaches to mentor aspiring artists through a series of blind auditions, battles, and live performances, with the ultimate goal of finding and crowning America's best new vocal talent."
Futurama,1999,now,8.6,"Comedy, Adventure, Science-Fiction",Running; returning 2026,,"Futurama follows pizza guy Philip J. Fry, who reawakens in 31st century New New York after a cryonics lab accident. Now part of the Planet Express delivery crew, Fry travels to the farthest reaches of the universe with his robot buddy Bender and cyclopsian love interest Leela, discovering freaky mutants, intergalactic conspiracies and other strange stuff."
The Gentlemen,2024,now,7.7,"Comedy, Action, Crime",Running; returning 2025,Netflix,"When aristocratic Eddie inherits the family estate, he discovers that it's home to an enormous weed empire — and its proprietors aren't going anywhere."
The Handmaid's Tale,2017,2025,7.5,"Drama, Science-Fiction",Ended,,"The Handmaid's Tale is the story of life in the dystopia of Gilead, a totalitarian society in what was formerly the United States. Facing environmental disasters and a plunging birthrate, Gilead is ruled by a twisted fundamentalism in its militarized ‘return to traditional values'. As one of the few remaining fertile women, Offred is a Handmaid in the Commander's household, one of the caste of women forced into sexual servitude as a last desperate attempt to repopulate the world. In this terrifying society, Offred must navigate between Commanders, their cruel Wives, domestic Marthas, and her fellow Handmaids – where anyone could be a spy for Gilead – all with one goal: to survive and find the daughter that was taken from her."
One-Punch Man,2015,now,8.3,"Comedy, Action, Anime",Running,,"One-Punch Man is a super hero who has trained so hard that his hair has fallen out, and who can overcome any enemy with one punch. However, because he is so strong, he has become bored and frustrated with winning all his battles so easily."
The Flash,2014,2023,7.5,"Drama, Action, Science-Fiction",Ended,,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash!"
The Bear,2022,now,7.2,"Drama, Comedy, Food",Running,,"Carmy, a young fine-dining chef, comes home to Chicago to run his family sandwich shop. As he fights to transform the shop and himself, he works alongside a rough-around-the-edges crew that ultimately reveal themselves as his chosen family."
FBI: International,2021,2025,7.1,"Drama, Crime",Ended,,"FBI: International follows the elite operatives of the Federal Bureau of Investigation's International Fly Team. Headquartered in Budapest, they travel the world with the mission of tracking and neutralizing threats against American citizens wherever they may be. Not allowed to carry guns, the Fly Team relies on intelligence, quick thinking and pure brawn as they put their lives on the line to protect the U.S. and its people."
Narcos,2015,2017,8.4,"Drama, Action, Crime",Ended,Netflix,"Narcos chronicle the life and death of drug lord Pablo Escobar the ruthless boss of the Medellin Cartel and a known terrorist who was also a congressman, a family man and revered by the poor as a new Robin Hood."
The X-Files,1993,2018,8.6,"Drama, Crime, Science-Fiction",Ended,,"Two FBI agents, Fox Mulder (a believer) and Dana Scully (a skeptic), investigate unexplained cases where the paranormal might be involved while hidden forces work to impede their efforts."
Grimm,2011,2017,8.4,"Drama, Crime, Supernatural",Ended,,"Grimm is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm."
Ahsoka,2023,now,7.5,"Action, Adventure, Science-Fiction",Running,Disney+,"Set after the fall of the Empire, Ahsoka follows the former Jedi knight Ahsoka Tano as she investigates an emerging threat to a vulnerable galaxy."
Star Wars: Visions,2021,now,7.5,"Action, Anime, Science-Fiction",Running; returning October 2025,Disney+,"Star Wars: Visions, an Original Series of animated short films, celebrates the Star Wars galaxy through the lens of the world's best Japanese anime creators."
Cobra Kai,2018,2025,7.2,"Drama, Comedy, Action",Ended,Netflix,"Thirty years after the events of the 1984 All Valley Karate Tournament, Johnny Lawrence's life has taken a rocky turn as he tries to forget a past that constantly haunts him. He seeks redemption by reopening the infamous Cobra Kai karate dojo. But the LaRusso-Lawrence rivalry of yesteryear is reignited when their lives become intertwined with the next generation of ""karate kids""."
The Night Of,2016,2016,8.4,"Drama, Crime, Legal",Ended,,"The Night Of is an eight-part limited series that delves into the intricate story of a fictitious murder case in New York City. The series follows the police investigation and legal proceedings, all the while examining the criminal justice system and the purgatory of Rikers Island, where the accused awaits his trial.Filmed in and around Manhattan, the HBO series is based on the BBC's Criminal Justice, created by Peter Moffat."
Doctor Who,2005,2022,8.3,"Drama, Adventure, Science-Fiction",Ended,,Adventures across time and space with the time travelling alien and companions.
Doctor Who,2023,now,6.6,"Drama, Adventure, Science-Fiction",To Be Determined,,"The Doctor and friends travel from the dawn of human history to distant alien worlds. And everywhere they go, they find adventure, terror, fun, chases, joy and monsters."
